Date loaded: 7.28.22,,1,,Plate Name: Fly01,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,SNM_FY_M_01,MOB_FY_C_01,RFY_FY_C_03,MOB_FY_S_03,MAL_FY_C_03,TRQ_FY_F_01,MOB_FY_S_02,MAL_FY_M_02,RGG_FY_C_03,ABQ_FY_S_03,MAL_FY_N_03,MTB_FY_F_02
B,GUN_FY_F_02,RFY_FY_HS_01,RGG_FY_C_02,PAS_FY_X_02,RGG_FY_S_02,RFY_FY_S_03,RFY_FY_HS_03,MAL_FY_C_02,RFY_FY_S_02,MOB_FY_G_03,MTB_FY_F_03,LOG_FY_S_03
C,SLV_FY_M_01,RFY_FY_HC_03,RFY_FY_HC_02,DRY_FY_N_02,SLV_FY_O_01,SNM_FY_S_01,BOU_FY_C_02,ABQ_FY_S_01,TES_FY_C_02,MAL_FY_M_03,SNM_FY_C_03,BOU_FY_S_03
D,SLV_FY_M_02,TRE_FY_F_02,DRY_FY_N_01,RFY_FY_S_01,RGG_FY_S_01,RFY_FY_C_01,BOU_FY_C_01,ABQ_FY_S_02,RGG_FY_C_01,PAS_FY_X_03,MTB_FY_F_01,LOG_FY_S_01
E,TES_FY_N_02,TRE_FY_F_03,SLV_FY_O_02,TES_FY_N_01,SLV_FY_O_03,RFY_FY_HC_01,SNM_FY_S_02,TES_FY_S_03,SNM_FY_M_02,MAL_FY_N_01,BOU_FY_C_03,BOU_FY_S_02
F,TRQ_FY_F_03,MOB_FY_C_03,TES_FY_M_02,SNM_FY_M_03,TES_FY_M_03,TES_FY_S_02,MOB_FY_G_02,SLV_FY_M_03,SNM_FY_C_02,MOB_FY_S_01,GUN_FY_F_03,BOU_FY_S_01
G,TES_FY_N_03,SLV_FY_F_02,RFY_FY_C_02,MOB_FY_C_02,RGG_FY_S_03,SLV_FY_F_01,LOG_FY_S_02,SLV_FY_F_03,DRY_FY_N_03,PAS_FY_X_01,TES_FY_C_03,TES_FY_M_01
H,SNM_FY_C_01,TES_FY_S_01,MAL_FY_N_02,TRE_FY_F_01,SNM_FY_S_03,GUN_FY_F_01,MAL_FY_M_01,MAL_FY_C_01,RFY_FY_HS_02,MOB_FY_G_01,TRQ_FY_F_02,TES_FY_C_01
,,,,,,,,,,,,
Date loaded: 9.26.22,,2 (ERNA 1),,Plate Name: Plant 1,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,MOB_EN_C_04,GUN_EN_F_06,MOB_EN_S_05,REN_EN_S_01,SNM_EN_M_07,MAL_EN_N_02,GUN_EN_F_02,MAL_EN_M_04,RGG_EN_S_04,TES_EN_M_03,MEE_EN_F_01,DRY_EN_N_02
B,MOB_EN_G_04,GUN_EN_F_04,MAL_EN_N_06,MAL_EN_M_02,MAL_EN_N_05,REN_EN_H_03,SLV_EN_O_01,DRY_EN_N_01,SLV_EN_F_05,TRE_EN_F_01,SLV_EN_M_06,TRQ_EN_F_06
C,ABQ_EN_S_07,MOB_EN_C_02,REN_EN_S_05,SLV_EN_M_03,TES_EN_M_04,MAL_EN_C_02,MAL_EN_C_04,LOG_EN_S_07,SLV_EN_O_04,PAS_EN_X_01,TES_EN_N_06,ABQ_EN_S_05
D,LOG_EN_S_03,SLV_EN_F_03,ABQ_EN_S_03,MOB_EN_C_07,REN_EN_C_03,SNM_EN_M_05,MOB_EN_G_06,TES_EN_C_02,LOG_EN_S_01,SLV_EN_O_03,ABQ_EN_S_01,SNM_EN_M_03
